arc,fraction,x_m,y_m,radial_x,radial_y
invert,0.640625,1.4475803217655765,-4.255194799321048,0.08935680998552942,-0.9959996789704352
invert,0.65625,1.6079189362518007,-4.2400061009431,0.09925425532418523,-0.9950621049964878
invert,0.671875,1.7680986264917868,-4.223224125838831,0.10914189052418438,-0.9940261806073354
invert,0.6875,1.928103560570171,-4.204850532712966,0.1190187383068007,-0.9928920081921585
invert,0.703125,2.0879179238441776,-4.184887137583326,0.12888382245951716,-0.9916596998508227
invert,0.71875,2.247525920506801,-4.163335913601324,0.13873616793251858,-0.9903293773827978
invert,0.734375,2.4069117751479796,-4.1401989908569465,0.14857480093506048,-0.9889011722751203
invert,0.75,2.566059734313832,-4.115478656168223,0.15839874903171802,-0.9873752256893966
invert,0.765625,2.724954068063699,-4.089177352855188,0.16820704123849994,-0.9857516884478512
invert,0.78125,2.8835790715248697,-4.061297680498402,0.17799870811881913,-0.9840307210184199
invert,0.796875,3.041919066444828,-4.031842394682,0.18777278187931037,-0.982212493498889
invert,0.8125,3.199958402740864,-4.000814406721341,0.19752829646548542,-0.9802971856000828
invert,0.828125,3.3576814600469205,-3.9682167833752544,0.20726428765721733,-0.9782849866281023
invert,0.84375,3.5150726492574305,-3.9340527465429407,0.21697979316403893,-0.9761760954656137
invert,0.859375,3.672116414068202,-3.898325672945493,0.2266738527202594,-0.973970720552191
invert,0.875,3.8287972325139257,-3.8610390937921775,0.23634550817987196,-0.9716690798637148
invert,0.890625,3.985099618502355,-3.8221966944313994,0.2459938036112565,-0.9692714008908272
invert,0.90625,4.141008123344929,-3.7818023139864483,0.2556177853916623,-0.9667779206164475
invert,0.921875,4.296507337283695,-3.739859944976054,0.2652165023014627,-0.964188885492349
invert,0.9375,4.451581891014402,-3.696373732919758,0.274789005618173,-0.9615045514148
invert,0.953125,4.60621645720552,-3.651347975928198,0.28433434921021733,-0.9587251836992716
invert,0.96875,4.760395752013259,-3.6047871242782694,0.2938515896304481,-0.9558510570542142
invert,0.984375,4.914104536592138,-3.5566957799732695,0.3033397862093912,-0.9528824555539056
invert,1,5.067327618601189,-3.507078696288051,0.31279800114822154,-0.9498196726103736
right_knee,0,5.06732761860119,-3.5070786962880485,0.31279800114822154,-0.9498196726103736
right_knee,0.015625,5.1016918585540765,-3.495448425085554,0.3283380374998417,-0.9445602855989408
