condition,split,E,k,pressure_ratio,Cw,Ch
fit_48_015,fit,48,0.15,0.9,0.002022600929938667,0.0035145713529167733
fit_48_015,fit,48,0.15,0.875,0.002525993850645891,0.004392197147546351
fit_48_015,fit,48,0.15,0.85,0.0030284858215638977,0.005269423223353775
fit_48_015,fit,48,0.15,0.825,0.00353007782226078,0.0061462531379936625
fit_48_015,fit,48,0.15,0.8,0.004030770827835761,0.007022690454006608
fit_48_015,fit,48,0.15,0.775,0.004530565808941511,0.007898738738895461
fit_48_015,fit,48,0.15,0.75,0.0050294665781533965,0.008774404169099581
fit_48_015,fit,48,0.15,0.725,0.005528304043856513,0.009650451955842798
fit_48_015,fit,48,0.15,0.7,0.0060285905507752036,0.01052829349065132
fit_48_015,fit,48,0.15,0.675,0.006530940822154108,0.01140856636627996
fit_48_015,fit,48,0.15,0.65,0.007036022590671154,0.012292136328736714
fit_48_015,fit,48,0.15,0.625,0.007544472512465816,0.01318032445941364
fit_48_015,fit,48,0.15,0.6,0.00805783161479301,0.014078270462910436
fit_48_015,fit,48,0.15,0.575,0.008591720289503502,0.015001818213859375
fit_48_015,fit,48,0.15,0.55,0.009156476846300277,0.015955429051610293
fit_48_015,fit,48,0.15,0.525,0.009756782695258703,0.016941568305145482
fit_48_015,fit,48,0.15,0.5,0.010397171223854196,0.01796304498463719
fit_48_015,fit,48,0.15,0.475,0.011083298040031608,0.019023272254491075
fit_48_015,fit,48,0.15,0.45,0.01182289479771792,0.020125845235891893
fit_48_015,fit,48,0.15,0.425,0.012626866993144636,0.02127235727181409
fit_48_015,fit,48,0.15,0.4,0.013506755850800523,0.022495497283585686
fit_48_015,fit,48,0.15,0.375,0.014467293920295221,0.02380801418886125
fit_48_015,fit,48,0.15,0.35,0.015517930375484768,0.02521872866325847
fit_48_025,fit,48,0.25,1.0,0.0,0.0
fit_48_025,fit,48,0.25,0.98,0.0004056777097256603,0.0007034413463781197
fit_48_025,fit,48,0.25,0.965,0.0007095558164830207,0.00123084812121399
fit_48_025,fit,48,0.25,0.95,0.0010131082984075057,0.0017581064006039204
fit_48_025,fit,48,0.25,0.925,0.0015183060753758415,0.002636542286624244
fit_48_025,fit,48,0.25,0.9,0.002022600929938667,0.0035145713529167733
fit_48_025,fit,48,0.25,0.875,0.002525993850645891,0.004392197147546351
fit_48_025,fit,48,0.25,0.85,0.0030284858215638977,0.005269423223353775
fit_48_025,fit,48,0.25,0.825,0.00353007782226078,0.0061462531379936625
fit_48_025,fit,48,0.25,0.8,0.004030770827835761,0.007022690454006608
fit_48_025,fit,48,0.25,0.775,0.004530565808941511,0.007898738738895461
fit_48_025,fit,48,0.25,0.75,0.0050294637318111235,0.008774401565201262
fit_48_025,fit,48,0.25,0.725,0.005527465558284428,0.009649682510578739
fit_48_025,fit,48,0.25,0.7,0.006024583031142616,0.010524595002211035
fit_48_025,fit,48,0.25,0.675,0.006521710251909951,0.01139996124264675
fit_48_025,fit,48,0.25,0.65,0.00702014809914564,0.012276992779830853
fit_48_025,fit,48,0.25,0.625,0.007520415739073916,0.013156211461020084
fit_48_025,fit,48,0.25,0.6,0.008023117611194674,0.014038306701919967
fit_48_025,fit,48,0.25,0.575,0.008528662222155203,0.01492398876656531
fit_48_025,fit,48,0.25,0.55,0.009037815203318256,0.015814853883092783
fit_48_025,fit,48,0.25,0.525,0.00955218968802285,0.01671617956505478
fit_48_025,fit,48,0.25,0.5,0.01008738985891433,0.01764360454500702
fit_48_025,fit,48,0.25,0.475,0.010653550130578893,0.018601235453067133
fit_48_025,fit,48,0.25,0.45,0.011255814910738349,0.01959124223656361
fit_48_025,fit,48,0.25,0.425,0.011898684023969985,0.02061655816163388
fit_48_025,fit,48,0.25,0.4,0.012587176071408024,0.021680295548450745
fit_48_025,fit,48,0.25,0.375,0.013327322773664108,0.022785995531929837
fit_48_025,fit,48,0.25,0.35,0.014127296039994408,0.023937885708607
fit_48_025,fit,48,0.25,0.325,0.01499732454114755,0.02513831132562583
fit_40_020,fit,40,0.2,1.0,0.0,3.3306690738754696e-16
fit_40_020,fit,40,0.2,0.98,0.0004845170064483595,0.0008395438632061714
fit_40_020,fit,40,0.2,0.965,0.000847363367996512,0.0014689524049459335
fit_40_020,fit,40,0.2,0.95,0.0012097460877827926,0.002098148653024823
fit_40_020,fit,40,0.2,0.925,0.0018126879697785148,0.0031463408263839865
fit_40_020,fit,40,0.2,0.9,0.002414344671903046,0.0041939529115481156
fit_40_020,fit,40,0.2,0.875,0.003014717878580764,0.005240990930430844
fit_40_020,fit,40,0.2,0.85,0.003613809265190837,0.006287460914593979
fit_40_020,fit,40,0.2,0.825,0.004211620498075996,0.007333368905322768
fit_40_020,fit,40,0.2,0.8,0.004808153234590717,0.008378720953822527
fit_40_020,fit,40,0.2,0.775,0.005403409123169833,0.009423523121394939
fit_40_020,fit,40,0.2,0.75,0.0059973898033884865,0.010467781479621241
fit_40_020,fit,40,0.2,0.725,0.006590104436922206,0.011511508986050134
fit_40_020,fit,40,0.2,0.7,0.007182576815863317,0.012555647952401494
fit_40_020,fit,40,0.2,0.675,0.0077764631302666976,0.013601741213715712
fit_40_020,fit,40,0.2,0.65,0.008372453510652855,0.01465048880163744
fit_40_020,fit,40,0.2,0.625,0.00897120796082429,0.01570270646392613
fit_40_020,fit,40,0.2,0.6,0.009573438902776954,0.016759604803769812
fit_40_020,fit,40,0.2,0.575,0.010179707824130912,0.017823622986501864
fit_40_020,fit,40,0.2,0.55,0.010798254705424615,0.018908287562444226
fit_40_020,fit,40,0.2,0.525,0.011448890625055608,0.020027358589891575
fit_40_020,fit,40,0.2,0.5,0.012138705017457618,0.021182979427026072
fit_40_020,fit,40,0.2,0.475,0.01287309388562663,0.022378338766914085
fit_40_020,fit,40,0.2,0.45,0.013657548386840745,0.02361682764781481
fit_40_020,fit,40,0.2,0.425,0.014498619020422376,0.024902347507155587
fit_40_020,fit,40,0.2,0.4,0.01540557353889227,0.0262394207844735
select_32_020,selection,32,0.2,1.0,0.0,0.0
select_32_020,selection,32,0.2,0.98,0.0006014136530064773,0.001040998838762075
select_32_020,selection,32,0.2,0.965,0.0010516417900915398,0.0018213619408642412
select_32_020,selection,32,0.2,0.95,0.00150115748219537,0.002601396898657793
select_32_020,selection,32,0.2,0.925,0.0022487690030773555,0.003900732649615324
select_32_020,selection,32,0.2,0.9,0.0029944067095045712,0.0051991751700602995
select_32_020,selection,32,0.2,0.875,0.003738073823505661,0.006496735913049889
select_32_020,selection,32,0.2,0.85,0.004479773545972399,0.007793426354234856
select_32_020,selection,32,0.2,0.825,0.005219509056680338,0.009089257992180189
select_32_020,selection,32,0.2,0.8,0.005957283514480882,0.010384242348884687
select_32_020,selection,32,0.2,0.775,0.006693100057475698,0.011678390970322972
select_32_020,selection,32,0.2,0.75,0.007426961803207788,0.012971715426982833
select_32_020,selection,32,0.2,0.725,0.008158883386298665,0.014264237831127402
select_32_020,selection,32,0.2,0.7,0.008890160238242517,0.015557151340149233
select_32_020,selection,32,0.2,0.675,0.00962279943369615,0.016852325354548503
select_32_020,selection,32,0.2,0.65,0.01035762075593516,0.0181505945577749
select_32_020,selection,32,0.2,0.625,0.011095418824559777,0.019452947609460813
select_32_020,selection,32,0.2,0.6,0.011837024435977006,0.020760831495954313
select_32_020,selection,32,0.2,0.575,0.012583097638591445,0.022077186031689733
select_32_020,selection,32,0.2,0.55,0.013343068526541546,0.023418115371204973
select_32_020,selection,32,0.2,0.525,0.01414157304678243,0.02480074523952358
select_32_020,selection,32,0.2,0.5,0.01498739131493576,0.02622768646935769
select_40_015,selection,40,0.15,1.0,0.0,0.0
select_40_015,selection,40,0.15,0.98,0.00048451700644958073,0.000839543863204284
select_40_015,selection,40,0.15,0.965,0.000847363367996179,0.0014689524049459335
select_40_015,selection,40,0.15,0.95,0.0012097460877829036,0.0020981486530243787
select_40_015,selection,40,0.15,0.925,0.001812687969779403,0.0031463408263827652
select_40_015,selection,40,0.15,0.9,0.002414344671903934,0.004193952911546894
select_40_015,selection,40,0.15,0.875,0.0030147178785800977,0.0052409909304315105
select_40_015,selection,40,0.15,0.85,0.003613809265190504,0.006287460914593868
select_40_015,selection,40,0.15,0.825,0.004211620498076107,0.007333368905322102
select_40_015,selection,40,0.15,0.8,0.0048081532345909395,0.008378720953822194
select_40_015,selection,40,0.15,0.775,0.0054034091231706105,0.009423523121393829
select_40_015,selection,40,0.15,0.75,0.005997393960718855,0.01046778527629566
select_40_015,selection,40,0.15,0.725,0.006591110995648353,0.011512431629872144
select_40_015,selection,40,0.15,0.7,0.007186342412375479,0.01255912494231215
select_40_015,selection,40,0.15,0.675,0.007783802603989809,0.013608607820503327
select_40_015,selection,40,0.15,0.65,0.00838427053387436,0.014661895523745638
select_40_015,selection,40,0.15,0.625,0.008988477198715206,0.015720532400204545
select_40_015,selection,40,0.15,0.6,0.00959811805274735,0.0167904829256198
select_40_015,selection,40,0.15,0.575,0.010231563793978493,0.017890473094969606
select_40_015,selection,40,0.15,0.55,0.010901193623697014,0.019025805716882283
select_40_015,selection,40,0.15,0.525,0.01161244457838595,0.02019925597268113
select_40_015,selection,40,0.15,0.5,0.012370572886565068,0.021414097741140004
select_40_015,selection,40,0.15,0.475,0.013182144859685274,0.02267426397528427
select_40_015,selection,40,0.15,0.45,0.014055945340396003,0.023983661816279644
select_40_015,selection,40,0.15,0.425,0.01500437066125071,0.02534366276171185
select_40_025,selection,40,0.25,1.0,0.0,0.0
select_40_025,selection,40,0.25,0.98,0.00048451700644958073,0.000839543863204284
select_40_025,selection,40,0.25,0.965,0.000847363367996179,0.0014689524049459335
select_40_025,selection,40,0.25,0.95,0.0012097460877829036,0.0020981486530243787
select_40_025,selection,40,0.25,0.925,0.001812687969779403,0.0031463408263827652
select_40_025,selection,40,0.25,0.9,0.002414344671903934,0.004193952911546894
select_40_025,selection,40,0.25,0.875,0.0030147178785800977,0.0052409909304315105
select_40_025,selection,40,0.25,0.85,0.003613809265190504,0.006287460914593868
select_40_025,selection,40,0.25,0.825,0.004211620498076107,0.007333368905322102
select_40_025,selection,40,0.25,0.8,0.0048081532345909395,0.008378720953822194
select_40_025,selection,40,0.25,0.775,0.0054034091231706105,0.009423523121393829
select_40_025,selection,40,0.25,0.75,0.0059973898033888196,0.010467781479620464
select_40_025,selection,40,0.25,0.725,0.0065900969060274095,0.01151150211054719
select_40_025,selection,40,0.25,0.7,0.00718154676876348,0.012554704525701843
select_40_025,selection,40,0.25,0.675,0.007772822791019651,0.013598385002695279
select_40_025,selection,40,0.25,0.65,0.008365449230827382,0.014643962780147901
select_40_025,selection,40,0.25,0.625,0.008960024569297231,0.015692040668873863
select_40_025,selection,40,0.25,0.6,0.009557260702583448,0.016743431887442428
select_40_025,selection,40,0.25,0.575,0.01015761233223611,0.017798951869986923
select_40_025,selection,40,0.25,0.55,0.01076197185764205,0.018860476579982466
select_40_025,selection,40,0.25,0.525,0.011372047552293485,0.019934068796624738
select_40_025,selection,40,0.25,0.5,0.012006166543636398,0.021038212142762358
select_40_025,selection,40,0.25,0.475,0.012676505308104935,0.022177799501539308
select_40_025,selection,40,0.25,0.45,0.013389061170400396,0.023355286885622717
select_40_025,selection,40,0.25,0.425,0.014149012050503007,0.02457399306897079
select_40_025,selection,40,0.25,0.4,0.014962223020205223,0.025837577704376002
select_48_020,selection,48,0.2,1.0,0.0,0.0
select_48_020,selection,48,0.2,0.98,0.0004056777097256603,0.0007034413463781197
select_48_020,selection,48,0.2,0.965,0.0007095558164830207,0.00123084812121399
select_48_020,selection,48,0.2,0.95,0.0010131082984075057,0.0017581064006039204
select_48_020,selection,48,0.2,0.925,0.0015183060753758415,0.002636542286624244
select_48_020,selection,48,0.2,0.9,0.002022600929938667,0.0035145713529167733
select_48_020,selection,48,0.2,0.875,0.002525993850645891,0.004392197147546351
select_48_020,selection,48,0.2,0.85,0.0030284858215638977,0.005269423223353775
select_48_020,selection,48,0.2,0.825,0.00353007782226078,0.0061462531379936625
select_48_020,selection,48,0.2,0.8,0.004030770827835761,0.007022690454006608
select_48_020,selection,48,0.2,0.775,0.004530565808941511,0.007898738738895461
select_48_020,selection,48,0.2,0.75,0.0050294637318111235,0.008774401565201262
select_48_020,selection,48,0.2,0.725,0.005527470865797968,0.00964968736092453
select_48_020,selection,48,0.2,0.7,0.00602543328224725,0.010525374705999457
select_48_020,selection,48,0.2,0.675,0.006524759912738487,0.011402776525804237
select_48_020,selection,48,0.2,0.65,0.007026045775256118,0.012282495225815038
select_48_020,selection,48,0.2,0.625,0.0075298555130293154,0.013165225729843355
select_48_020,selection,48,0.2,0.6,0.00803681044857607,0.01405200828408848
select_48_020,selection,48,0.2,0.575,0.008547403517316199,0.014944930106785326
select_48_020,selection,48,0.2,0.55,0.009068895049220038,0.015855631986800844
select_48_020,selection,48,0.2,0.525,0.009617841367306368,0.016795597495110837
select_48_020,selection,48,0.2,0.5,0.010200226744683127,0.01776668783115587
select_48_020,selection,48,0.2,0.475,0.01082072010982138,0.018771732644099037
select_48_020,selection,48,0.2,0.45,0.011484112824967196,0.019813732547331986
select_48_020,selection,48,0.2,0.425,0.012196089845595282,0.020896047173227905
select_48_020,selection,48,0.2,0.4,0.01296474794800373,0.022022784245266602
select_48_020,selection,48,0.2,0.375,0.013800328001415618,0.02319558454408821
select_48_020,selection,48,0.2,0.35,0.014717023225690462,0.02444051929621449
select_48_020,selection,48,0.2,0.325,0.01571982373255354,0.0257837179630791
